grade,subject,approvalNumber,title,type,author,publisher,barcode
א,חינוך מוזיקלי,2652,הכול בקול,חוברת לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,41628
א,חינוך מוזיקלי,2743,חגיגה בצלילים,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,81727
א,חינוך מוזיקלי,2745,חליליות לכיתות בית הספר  חלק א,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,81726
א,חינוך מוזיקלי,2745,חליליות לכיתות בית הספר  חלק ב,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,818112
א,חינוך מוזיקלי,2745,חליליות לכיתות בית הספר  חלק ג,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,818312
א,חינוך מוזיקלי,2653,פטר והזאב,חוברת לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416211
א,חינוך מוזיקלי,2787,צליל וצבע,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,8171129
א,חינוך מוזיקלי,2824,"צליל וקשת, ויולה",חוברת לימוד,"ת. אורדו, ע. גור, ל. לבנון",קהילה מנגנת,146577121
א,חינוך מוזיקלי,2824,"צליל וקשת, כינור",חוברת לימוד,"ת. אורדו, ע. גור, ל. לבנון",קהילה מנגנת,87715
א,חינוך מוזיקלי,2824,"צליל וקשת, צ'לו",חוברת לימוד,"א. חן, ע. גור",קהילה מנגנת,87713
א,חינוך מוזיקלי,2487,צלילי המוסיקה 1,חוברת לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,4161851
א,חינוך מוזיקלי,2721,קסם החלילית,חוברת לימוד,ע. גור,קהילה מנגנת,87711
א,זהירות ובטיחות בדרכים,2475,הרכבת הקלה,חוברת לימוד,א. אמדו,א.מ. מעגל שיווק,8164
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  אופניים לשועל,חוברת עבודה,א. עצמוני,יבנה | בונוס,119724
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  האח לרמזור המוצלח,חוברת עבודה,א. עצמוני,יבנה | בונוס,119391
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  התמרור ששאג ולחש עצור,חוברת עבודה,א. עצמוני,יבנה | בונוס,119394
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  חגיגה בשחור לבן,חוברת עבודה,א. עצמוני,יבנה | בונוס,119397
א,זהירות ובטיחות בדרכים,2435,חיוכים בדרכים  מקראה,ספר לימוד,"א. עצמוני, נ. חרמון",יבנה | בונוס,119751
א,זהירות ובטיחות בדרכים,2785,סימני דרך,ספר לימוד,א. עצמוני,למור,12351
א,זהירות ובטיחות בדרכים,299,עלילות הולך רגל בממלכת דרך,ספר לימוד,"ט. אבן חן, ר. יחזקאל",לילך,13165
א,זהירות ובטיחות בדרכים,2822,בצעד ראשון,ספר לימוד,א. עצמוני,למור,12353
א,נושאים מיוחדים,9626,עניין לגדולים – מסע השתלבות בעולם הגדולים,ספר לימוד,המינהל הפדגוגי,מטח,78112221
א,מדע וטכנולוגיה,2934,"מעשה בראשית, החושים שלנו",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,245112
א,מדע וטכנולוגיה,2934,"מעשה בראשית, להיות בריאים",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,245122
א,מדע וטכנולוגיה,2934,"מעשה בראשית, מעגל עונות השנה",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,245132
א,מדע וטכנולוגיה,2895,"א""ב של המדע לכיתה א, חלק ראשון",ספר לימוד,"ע. ברנע, ט. אמברחציר, ש. איזרדל, ג. סלומון",יבנה | בונוס,119111
א,מדע וטכנולוגיה,2895,"א""ב של המדע לכיתה א, חלק שני",ספר לימוד,"ע. ברנע, ט. אמברחציר, ש. איזרדל, ג. סלומון",יבנה | בונוס,119112
א,מדע וטכנולוגיה,2844,"במבט חדש, החושים שלנו",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,24112
א,מדע וטכנולוגיה,2844,"במבט חדש, להיות בריאים",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,24312
א,מדע וטכנולוגיה,2844,"במבט חדש, מעגל עונות השנה",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,24212
א,מדע וטכנולוגיה,2813,מדע בעידן טכנולוגי המחודש לכיתה א',ספר לימוד,"ג. ניב, ס. הבר, מ. ברק",יבנה | בונוס,119898
א,מדע וטכנולוגיה,2811,"מסע מדע א', חוקרים את עונות השנה",ספר לימוד,ש. קלצ'קו,כנרת  זמורה,112287
א,מדע וטכנולוגיה,286,"פלא טבע א', 1חושים",ספר לימוד,צוות מטח,מטח,782412
א,מדע וטכנולוגיה,286,"פלא טבע א', 2סביבה ",ספר לימוד,צוות מטח,מטח,7824121
א,מדע וטכנולוגיה,286,"פלא טבע א', 3צמחים",ספר לימוד,צוות מטח,מטח,7824122
א,מדע וטכנולוגיה,286,"פלא טבע א', 4בעלי חיים",ספר לימוד,צוות מטח,מטח,7824123
א,מדע וטכנולוגיה,286,"פלא טבע א', 5האדם",ספר לימוד,צוות מטח,מטח,7824124
א,מתמטיקה,2591,זמן חשבון כיתה א'  גאומטריה,ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161778
א,מתמטיקה,2591,"זמן חשבון כיתה א'  מספרים ופעולות, חלק א'",ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161774
א,מתמטיקה,2591,"זמן חשבון כיתה א'  מספרים ופעולות, חלק ב'",ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161775
א,מתמטיקה,2591,"זמן חשבון כיתה א'  מספרים ופעולות, חלק ג'",ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161776
א,מתמטיקה,2591,"זמן חשבון כיתה א'  מספרים ופעולות, חלק ד'",ספר לימוד,"י. פכטר, א. סגל",יבנה | בונוס,4161777
א,מתמטיקה,274,חשבון וחשיבה לכיתה א' ספר גאומטריה,ספר לימוד,"ר. שטיינברג, ב. זייבלד, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421299
א,מתמטיקה,274,חשבון וחשיבה לכיתה א' ספר ראשון,ספר לימוד,"ר. שטיינברג, ב. זייבלד, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421297
א,מתמטיקה,274,חשבון וחשיבה לכיתה א' ספר שני,ספר לימוד,"ר. שטיינברג, ב. זייבלד, ש. הוכנר, א. בליזובסקי",כנרת  זמורה,421298
א,מתמטיקה,2594,"יש פתרון, לכיתה א', גאומטריה",ספר לימוד,א. פרץ,אושרה פרץ,352349
א,מתמטיקה,2594,"יש פתרון, לכיתה א', חלק א'",ספר לימוד,א. פרץ,אושרה פרץ,359176
א,מתמטיקה,2594,"יש פתרון, לכיתה א', חלק ב'",ספר לימוד,א. פרץ,אושרה פרץ,359177
א,מתמטיקה,2855,מאחורי המספרים 1  מהדורה מותאמת למגזר החרדי,ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13121
א,מתמטיקה,2855,מאחורי המספרים 2  מהדורה מותאמת למגזר החרדי,ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13122
א,מתמטיקה,2855,מאחורי המספרים 3  מהדורה מותאמת למגזר החרדי,ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13123
א,מתמטיקה,2855,"מאחורי המספרים, גאומטריה לכיתה א'  מהדורה מותאמת למגזר החרדי",ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13124
א,מתמטיקה,2855,"מאחורי המספרים, ערכת אביזרים",ערכת אביזרים,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",13115
א,מתמטיקה,269,"מסלולים א', ערכת אביזרים  פרקי גאומטריה",ערכת אביזרים,צוות מטח,מטח,78277114
א,מתמטיקה,269,מסלולים פלוס א' חלק 1,ספר לימוד,צוות מטח,מטח,782761
א,מתמטיקה,269,מסלולים פלוס א' חלק 2,ספר לימוד,צוות מטח,מטח,7827611
א,מתמטיקה,269,מסלולים פלוס א' חלק 3,ספר לימוד,צוות מטח,מטח,7827612
א,מתמטיקה,269,"מסלולים פלוס א', ערכת אביזרים",ערכת אביזרים,צוות מטח,מטח,7827616
א,מתמטיקה,269,"מסלולים, גאומטריה לכיתה א'",ספר לימוד,צוות מטח,מטח,7827717
א,מתמטיקה,2574,"נחשוב חשבון א', חלק 1",ספר לימוד,"חינוך מתמטי בע""מ","אבסול בע""מ",119484
א,מתמטיקה,2574,"נחשוב חשבון א', חלק 2",ספר לימוד,"חינוך מתמטי בע""מ","אבסול בע""מ",119485
א,מתמטיקה,2574,"נחשוב חשבון א', חלק 3",ספר לימוד,"חינוך מתמטי בע""מ","אבסול בע""מ",119486
א,מתמטיקה,2758,פשוט ללמוד חשבון  גאומטריה לכיתה א'  ספר 4,ספר לימוד,"נ. אלפא, ר. אברמוביץ",חשבון פשוט,116663
א,מתמטיקה,2758,פשוט ללמוד חשבון לכיתה א'  ספר 1,ספר לימוד,"נ. אלפא, ר. אברמוביץ",חשבון פשוט,11666
א,מתמטיקה,2758,פשוט ללמוד חשבון לכיתה א'  ספר 2,ספר לימוד,"נ. אלפא, ר. אברמוביץ",חשבון פשוט,116661
א,מתמטיקה,2758,פשוט ללמוד חשבון לכיתה א'  ספר 3,ספר לימוד,"נ. אלפא, ר. אברמוביץ",חשבון פשוט,116662
א,מתמטיקה,2765,השבחה לכיתה א'  גאומטריה,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416239
א,מתמטיקה,2765,השבחה לכיתה א'  מספרים ופעולות 1,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416235
א,מתמטיקה,2765,השבחה לכיתה א'  מספרים ופעולות 2,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416236
א,מתמטיקה,2765,השבחה לכיתה א'  מספרים ופעולות 3,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416237
א,מתמטיקה,2765,השבחה לכיתה א'  מספרים ופעולות 4,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416238
א,מתמטיקה,2765,השבחה לכיתה א'  ערכת אביזרים ,ערכת אביזרים,המכון לקידום האינטגרציה,יבנה | בונוס,4161742
א,מתמטיקה,2231,"חשבון 1, אביזרים ",ערכת אביזרים, א. אררה,למדא,19911
א,מתמטיקה,2231,"חשבון 1, חלק א'",ספר לימוד,א. אררה,למדא,199528
א,מתמטיקה,2231,"חשבון 1, חלק ב'",ספר לימוד,א. אררה,למדא,199532
א,מתמטיקה,2231,"חשבון 1, חלק ג'",ספר לימוד,א. אררה,למדא,199533
א,מתמטיקה,2158,"כשרים והקשרים במתמטיקה, סרגל צורות ",ערכת אביזרים,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",11945
א,מתמטיקה,2158,"כשרים והקשרים במתמטיקה, תבנית ביצים ",ערכת אביזרים,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",119435
א,מתמטיקה,2158,"כשרים והקשרים, ספר 1",ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",11941
א,מתמטיקה,2158,"כשרים והקשרים, ספר 2",ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",11942
א,מתמטיקה,2158,"כשרים והקשרים, ספר 3",ספר לימוד,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",11943
